indicator_ru,region,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00
Денежные доходы (в среднем на душу),        Томская область,496.80,710.70,966.40,928.60,1505.10,2070.20,2851.30,3954.30,5407.30,6472.70,8076.50,9896.50,11889.80,13481.70,13776.50,15070.50,16516.00,17875.60,20144.50
Денежные доходы (в среднем на душу),    Дальневосточный федеральный округ,649.30,961.90,1127.10,1183.50,1881.50,2497.60,3303.90,4391.40,5788.30,7046.90,8892.10,11096.90,13376.20,15622.00,18261.60,20807.20,22870.00,25325.90,28773.80
Денежные доходы (в среднем на душу),        Республика Саха (Якутия),957.10,1491.80,1752.80,1779.70,3046.60,3967.70,5009.90,6348.20,8239.70,9633.20,11391.40,13629.70,15682.80,18740.80,21278.60,23088.10,25616.90,28457.30,31011.30
Денежные доходы (в среднем на душу),        Камчатский край,957.20,1458.10,1680.70,1634.00,2581.70,3452.40,4559.10,5915.60,7100.80,8343.00,10834.50,13236.80,15962.20,19063.00,22581.00,27010.30,28964.90,31481.60,34456.80
Денежные доходы (в среднем на душу),            Корякский автономный  округ,,,1993.40,2015.70,3106.20,4508.00,5427.90,6921.20,7884.90,10010.30,12907.50,15268.40,,,,,,,
Денежные доходы (в среднем на душу),        Приморский край,540.10,735.80,851.30,921.20,1356.40,1799.80,2367.20,3122.40,4246.20,5405.00,7126.80,9041.00,10796.80,12807.80,15140.40,17297.90,19159.70,21299.70,24368.80
Денежные доходы (в среднем на душу),        Хабаровский край,536.00,833.70,1015.60,1163.30,1908.30,2500.40,3395.80,4689.10,6205.30,7596.90,9450.80,11998.60,14573.90,15705.10,19071.00,22478.90,23766.20,25649.30,29634.00
Денежные доходы (в среднем на душу),        Амурская область,512.50,780.40,925.80,902.30,1387.60,1825.20,2313.00,2874.60,3852.40,4695.30,5874.20,7232.90,9388.60,11936.30,12751.60,14323.40,17789.70,21469.30,24234.20
Денежные доходы (в среднем на душу),        Магаданская область,1018.30,1446.80,1674.20,1831.00,2816.50,3724.50,5069.30,6748.50,8184.60,9485.90,11106.50,13748.20,16459.60,19703.20,24164.60,27800.70,30452.10,36575.60,42462.60
Денежные доходы (в среднем на душу),        Сахалинская область,688.80,1020.50,1169.00,1194.80,1992.60,2792.80,3872.40,5522.80,7676.00,9488.30,12548.00,16211.50,20178.00,24552.30,27576.90,30727.00,32268.20,33459.50,39917.30
Денежные доходы (в среднем на душу),        Еврейская автономная область,416.10,597.70,676.60,690.40,1041.20,1488.80,2028.90,3081.00,4062.40,4974.70,6269.50,7395.60,8443.00,10876.90,13061.80,15347.80,16525.30,18151.40,20406.60
Денежные доходы (в среднем на душу),        Чукотский автономный округ,1131.00,1772.40,2071.20,2074.90,3034.60,4731.90,7951.90,11313.20,13663.90,15041.80,20253.10,24320.10,27858.30,32140.40,35079.30,38146.80,43049.40,47856.70,48958.60
